!CSV A.01.01
!Agilent Technologies,N5230C,MY49001079,A.09.31.02
!Agilent N5230C: A.09.31.02
!Date: Friday, November 15, 2019 16:13:54
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
50000000,-1.300112,-44.495171
50029687.5,-1.3066109,-44.67075
50059375,-1.3097123,-44.591785
50089062.5,-1.3292018,-44.543633
50118750,-1.3246304,-44.559155
50148437.5,-1.3077017,-44.600235
50178125,-1.3313481,-44.453602
50207812.5,-1.3409723,-44.662319
50237500,-1.3301871,-44.597847
50267187.5,-1.3487929,-44.579243
50296875,-1.3740786,-44.670414
50326562.5,-1.3795713,-44.675003
50356250,-1.3705591,-44.572132
50385937.5,-1.4041635,-44.56546
50415625,-1.4230713,-44.499619
50445312.5,-1.3998934,-44.741772
50475000,-1.4056889,-44.56974
50504687.5,-1.4216484,-44.589275
50534375,-1.4346716,-44.628113
50564062.5,-1.4161245,-44.707504
50593750,-1.4204236,-44.504559
50623437.5,-1.4321812,-44.789635
50653125,-1.4526538,-44.517056
50682812.5,-1.4666276,-44.639645
50712500,-1.4678065,-44.633171
50742187.5,-1.4793932,-44.437057
50771875,-1.4764653,-44.486977
50801562.5,-1.4968941,-44.493172
50831250,-1.4890792,-44.518265
50860937.5,-1.4870272,-44.479023
50890625,-1.4945785,-44.600597
50920312.5,-1.4963117,-44.58786
50950000,-1.5192105,-44.390846
50979687.5,-1.52336,-44.477242
51009375,-1.501737,-44.577461
51039062.5,-1.5209849,-44.626194
51068750,-1.5211687,-44.343475
51098437.5,-1.533253,-44.407284
51128125,-1.541774,-44.330364
51157812.5,-1.5266794,-44.371437
51187500,-1.5397874,-44.432278
51217187.5,-1.5382402,-44.377853
51246875,-1.5479827,-44.463093
51276562.5,-1.5600935,-44.415394
51306250,-1.5809838,-44.273754
51335937.5,-1.5770959,-44.297413
51365625,-1.5782706,-44.396683
51395312.5,-1.5775578,-44.314163
51425000,-1.5774776,-44.304653
51454687.5,-1.5957123,-44.25309
51484375,-1.5968159,-44.230152
51514062.5,-1.6003374,-44.225952
51543750,-1.5895036,-44.299141
51573437.5,-1.5930749,-44.184433
51603125,-1.5904884,-44.213158
51632812.5,-1.6039315,-44.062679
51662500,-1.6023518,-44.137264
51692187.5,-1.5886163,-44.088993
51721875,-1.597546,-44.023018
51751562.5,-1.5953034,-43.9417
51781250,-1.6154088,-44.000935
51810937.5,-1.6101661,-44.084736
51840625,-1.6142502,-43.876389
51870312.5,-1.6336266,-44.025158
51900000,-1.6090348,-43.990089
51929687.5,-1.6176322,-43.838387
51959375,-1.6274197,-43.787453
51989062.5,-1.6103821,-43.873039
52018750,-1.6271075,-43.916374
52048437.5,-1.6129616,-43.837097
52078125,-1.6144341,-43.960667
52107812.5,-1.6194092,-43.855434
52137500,-1.6209352,-43.963982
52167187.5,-1.6097608,-43.807171
52196875,-1.6231617,-43.685493
52226562.5,-1.6155379,-43.794247
52256250,-1.6124463,-43.697247
52285937.5,-1.6195087,-43.648956
52315625,-1.6361665,-43.680973
52345312.5,-1.6085298,-43.829269
52375000,-1.6275588,-43.781136
52404687.5,-1.6181852,-43.567513
52434375,-1.6190529,-43.836163
52464062.5,-1.6573393,-43.638401
52493750,-1.6154193,-43.513481
52523437.5,-1.6294892,-43.747158
52553125,-1.6135623,-43.547775
52582812.5,-1.6075426,-43.558334
52612500,-1.6113272,-43.356991
52642187.5,-1.6187664,-43.519497
52671875,-1.6203383,-43.640846
52701562.5,-1.5791966,-43.49284
52731250,-1.6233022,-43.453495
52760937.5,-1.6072493,-43.511539
52790625,-1.6021276,-43.358963
52820312.5,-1.6156608,-43.513088
52850000,-1.6014279,-43.593224
52879687.5,-1.595216,-43.393345
52909375,-1.6009573,-43.569206
52939062.5,-1.6231374,-43.429146
52968750,-1.6225808,-43.543339
52998437.5,-1.6199007,-43.591354
53028125,-1.5974761,-43.500336
53057812.5,-1.5964572,-43.359676
53087500,-1.5920869,-43.333721
53117187.5,-1.6071484,-43.505852
53146875,-1.5981665,-43.312401
53176562.5,-1.5851172,-43.355633
53206250,-1.5809541,-43.380905
53235937.5,-1.5826638,-43.501377
53265625,-1.5891286,-43.353703
53295312.5,-1.568264,-43.350536
53325000,-1.5728742,-43.420139
53354687.5,-1.5725005,-43.409943
53384375,-1.5737333,-43.313332
53414062.5,-1.5679111,-43.404953
53443750,-1.5808613,-43.447906
53473437.5,-1.5541562,-43.55024
53503125,-1.5661951,-43.548637
53532812.5,-1.5538315,-43.471382
53562500,-1.5612385,-43.503124
53592187.5,-1.5644108,-43.368088
53621875,-1.5617701,-43.53384
53651562.5,-1.55102,-43.320347
53681250,-1.5416496,-43.487888
53710937.5,-1.5501301,-43.483318
53740625,-1.5419728,-43.376564
53770312.5,-1.5245624,-43.484322
53800000,-1.5452203,-43.60397
53829687.5,-1.5384799,-43.361435
53859375,-1.5258362,-43.484791
53889062.5,-1.5165708,-43.522339
53918750,-1.5241611,-43.685299
53948437.5,-1.5327817,-43.406921
53978125,-1.5237247,-43.596485
54007812.5,-1.538976,-43.565327
54037500,-1.5300579,-43.714031
54067187.5,-1.492422,-43.70425
54096875,-1.530637,-43.775822
54126562.5,-1.514629,-43.550404
54156250,-1.5062042,-43.84803
54185937.5,-1.5110192,-43.736282
54215625,-1.5027872,-43.885166
54245312.5,-1.4847836,-43.659241
54275000,-1.4960452,-43.556152
54304687.5,-1.5072373,-43.598896
54334375,-1.4704396,-43.766716
54364062.5,-1.4902599,-43.761158
54393750,-1.4915504,-43.771202
54423437.5,-1.4847393,-43.888584
54453125,-1.4776372,-43.763828
54482812.5,-1.4651359,-43.65173
54512500,-1.4849583,-43.79763
54542187.5,-1.4536809,-43.944794
54571875,-1.4909848,-43.779114
54601562.5,-1.4581543,-43.763947
54631250,-1.4487388,-43.936646
54660937.5,-1.4313021,-43.985165
54690625,-1.4529347,-44.039581
54720312.5,-1.4323108,-43.955299
54750000,-1.4671754,-44.123718
54779687.5,-1.4439445,-43.956387
54809375,-1.4285411,-44.076866
54839062.5,-1.4456269,-44.082504
54868750,-1.4334879,-44.082172
54898437.5,-1.4392987,-44.145523
54928125,-1.4349045,-44.11475
54957812.5,-1.4399341,-44.19928
54987500,-1.4471246,-44.248711
55017187.5,-1.4439203,-44.287903
55046875,-1.4472171,-44.142017
55076562.5,-1.4191238,-44.417709
55106250,-1.4353513,-44.166107
55135937.5,-1.4258962,-44.362457
55165625,-1.4052262,-44.283737
55195312.5,-1.4382353,-44.400635
55225000,-1.4120828,-44.479389
55254687.5,-1.4118284,-44.414776
55284375,-1.402804,-44.514099
55314062.5,-1.4359884,-44.46627
55343750,-1.4132395,-44.45533
55373437.5,-1.4016342,-44.594013
55403125,-1.4100209,-44.706795
55432812.5,-1.4114084,-44.613377
55462500,-1.4249693,-44.516083
55492187.5,-1.4306017,-44.71109
55521875,-1.4213345,-44.616299
55551562.5,-1.4010528,-44.619766
55581250,-1.3787973,-44.701641
55610937.5,-1.3877625,-44.826111
55640625,-1.3985738,-44.892643
55670312.5,-1.4217706,-44.854153
55700000,-1.4084642,-44.96629
55729687.5,-1.4215622,-44.863022
55759375,-1.3954394,-45.009235
55789062.5,-1.3888233,-44.924503
55818750,-1.389684,-45.051243
55848437.5,-1.3828951,-44.993771
55878125,-1.4039667,-45.035492
55907812.5,-1.3970904,-45.17384
55937500,-1.3759954,-45.272427
55967187.5,-1.3893158,-45.150642
55996875,-1.4052949,-45.2076
56026562.5,-1.3824856,-45.361649
56056250,-1.382216,-45.254196
56085937.5,-1.3832035,-45.390396
56115625,-1.4177794,-45.306534
56145312.5,-1.3862802,-45.455738
56175000,-1.3802425,-45.576225
56204687.5,-1.3781815,-45.366806
56234375,-1.3897535,-45.511726
56264062.5,-1.3714776,-45.521255
56293750,-1.3843317,-45.466152
56323437.5,-1.3891199,-45.538586
56353125,-1.3873152,-45.694973
56382812.5,-1.3657881,-45.764587
56412500,-1.3979343,-45.818947
56442187.5,-1.3966787,-45.70348
56471875,-1.3972031,-45.799385
56501562.5,-1.3913672,-45.802586
56531250,-1.3911568,-45.762928
56560937.5,-1.4031324,-45.940163
56590625,-1.3841392,-46.106289
56620312.5,-1.3638968,-45.848061
56650000,-1.3936723,-46.043777
56679687.5,-1.3825375,-46.058506
56709375,-1.4025815,-45.949356
56739062.5,-1.3622881,-46.144531
56768750,-1.3947911,-46.11969
56798437.5,-1.3793222,-46.190575
56828125,-1.3893096,-46.04258
56857812.5,-1.373219,-46.058041
56887500,-1.3785734,-46.137451
56917187.5,-1.395175,-46.231937
56946875,-1.3676524,-46.299721
56976562.5,-1.3890917,-46.28421
57006250,-1.3878802,-46.41782
57035937.5,-1.3669742,-46.414574
57065625,-1.3679664,-46.433475
57095312.5,-1.3893644,-46.359695
57125000,-1.3669145,-46.475685
57154687.5,-1.3916913,-46.654392
57184375,-1.3932469,-46.680477
57214062.5,-1.3887743,-46.665527
57243750,-1.3802559,-46.529266
57273437.5,-1.3961853,-46.645493
57303125,-1.4012175,-46.795235
57332812.5,-1.3954003,-46.695232
57362500,-1.3900794,-46.824509
57392187.5,-1.3920174,-46.881046
57421875,-1.4101157,-46.877182
57451562.5,-1.3948516,-47.00507
57481250,-1.3933502,-46.935802
57510937.5,-1.4054149,-46.889404
57540625,-1.3911308,-46.970043
57570312.5,-1.4083946,-46.963066
57600000,-1.3926675,-47.03709
57629687.5,-1.4204482,-47.163029
