!CSV A.01.01
!Agilent Technologies,N5230C,MY49001079,A.09.31.02
!Agilent N5230C: A.09.31.02
!Date: Friday, November 15, 2019 16:14:35
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
50000000,-1.2822726,-44.451679
50029687.5,-1.3124664,-44.78421
50059375,-1.3079021,-44.571091
50089062.5,-1.3177522,-44.563599
50118750,-1.3124241,-44.563889
50148437.5,-1.3286921,-44.603428
50178125,-1.3395184,-44.438419
50207812.5,-1.3284788,-44.577488
50237500,-1.3437958,-44.606224
50267187.5,-1.3488023,-44.532391
50296875,-1.3659647,-44.70689
50326562.5,-1.3756855,-44.612797
50356250,-1.3719487,-44.584976
50385937.5,-1.3996522,-44.583862
50415625,-1.4176508,-44.495579
50445312.5,-1.3887935,-44.61734
50475000,-1.40153,-44.578972
50504687.5,-1.4284319,-44.614502
50534375,-1.4323883,-44.576759
50564062.5,-1.411808,-44.543411
50593750,-1.429816,-44.598896
50623437.5,-1.4517107,-44.76437
50653125,-1.4387698,-44.542171
50682812.5,-1.4762803,-44.607452
50712500,-1.4581038,-44.654179
50742187.5,-1.5016062,-44.475487
50771875,-1.4862882,-44.441601
50801562.5,-1.4866692,-44.516304
50831250,-1.4864744,-44.502518
50860937.5,-1.4762558,-44.514896
50890625,-1.5044388,-44.567165
50920312.5,-1.487887,-44.608685
50950000,-1.5192624,-44.465599
50979687.5,-1.522278,-44.478977
51009375,-1.5024308,-44.545635
51039062.5,-1.5303143,-44.530251
51068750,-1.5363975,-44.340549
51098437.5,-1.53908,-44.397964
51128125,-1.5512744,-44.382126
51157812.5,-1.5197072,-44.43758
51187500,-1.5412138,-44.390713
51217187.5,-1.5430101,-44.437344
51246875,-1.5456251,-44.34111
51276562.5,-1.5728956,-44.33102
51306250,-1.5668551,-44.274139
51335937.5,-1.5831058,-44.276981
51365625,-1.5880954,-44.356922
51395312.5,-1.5842671,-44.15448
51425000,-1.5763237,-44.194893
51454687.5,-1.5783455,-44.236816
51484375,-1.6079757,-44.270889
51514062.5,-1.5912411,-44.285934
51543750,-1.5721521,-44.298241
51573437.5,-1.5982866,-44.087814
51603125,-1.59535,-44.183846
51632812.5,-1.6149012,-44.129292
51662500,-1.612765,-44.133034
51692187.5,-1.5862933,-44.111347
51721875,-1.5971119,-44.032017
51751562.5,-1.6076585,-43.916679
51781250,-1.6268783,-44.116005
51810937.5,-1.5958406,-44.030743
51840625,-1.6019378,-44.004482
51870312.5,-1.6432855,-44.092026
51900000,-1.5759375,-44.064365
51929687.5,-1.6066887,-43.841347
51959375,-1.6245155,-43.841434
51989062.5,-1.6119208,-43.963139
52018750,-1.6249084,-43.901608
52048437.5,-1.6237563,-43.823597
52078125,-1.6193,-43.86314
52107812.5,-1.6284335,-43.934498
52137500,-1.6283677,-43.818451
52167187.5,-1.6082681,-43.801479
52196875,-1.625345,-43.642357
52226562.5,-1.6137027,-43.850319
52256250,-1.613919,-43.682251
52285937.5,-1.610266,-43.745975
52315625,-1.6402891,-43.642166
52345312.5,-1.6364304,-43.735287
52375000,-1.6463258,-43.670258
52404687.5,-1.6102481,-43.634243
52434375,-1.5961993,-43.73658
52464062.5,-1.6293752,-43.712757
52493750,-1.6088127,-43.542023
52523437.5,-1.6414226,-43.603767
52553125,-1.6147003,-43.599007
52582812.5,-1.6083179,-43.480312
52612500,-1.6159549,-43.449753
52642187.5,-1.6187327,-43.624527
52671875,-1.609358,-43.579193
52701562.5,-1.6017474,-43.593998
52731250,-1.6055006,-43.497967
52760937.5,-1.6280092,-43.575756
52790625,-1.5962768,-43.294743
52820312.5,-1.6123987,-43.403091
52850000,-1.6040583,-43.593891
52879687.5,-1.6077181,-43.46767
52909375,-1.6071287,-43.539593
52939062.5,-1.6067653,-43.503899
52968750,-1.6105469,-43.500107
52998437.5,-1.6124039,-43.656063
53028125,-1.6087718,-43.406818
53057812.5,-1.6026338,-43.382099
53087500,-1.601052,-43.266163
53117187.5,-1.6170124,-43.413956
53146875,-1.5868288,-43.389172
53176562.5,-1.5902334,-43.402702
53206250,-1.5824431,-43.309067
53235937.5,-1.5872343,-43.477299
53265625,-1.5762972,-43.419525
53295312.5,-1.5708259,-43.296131
53325000,-1.5611384,-43.35685
53354687.5,-1.5693905,-43.323566
53384375,-1.5732728,-43.444828
53414062.5,-1.5472677,-43.356892
53443750,-1.578238,-43.398415
53473437.5,-1.5762236,-43.543816
53503125,-1.5541279,-43.502766
53532812.5,-1.5475159,-43.404289
53562500,-1.5451914,-43.537018
53592187.5,-1.5710537,-43.38908
53621875,-1.5576004,-43.422359
53651562.5,-1.5584731,-43.394352
53681250,-1.5331875,-43.450523
53710937.5,-1.5564266,-43.407005
53740625,-1.5301224,-43.476654
53770312.5,-1.5123384,-43.405045
53800000,-1.534063,-43.547268
53829687.5,-1.5362083,-43.437626
53859375,-1.5217217,-43.497856
53889062.5,-1.5213103,-43.601772
53918750,-1.5075816,-43.53418
53948437.5,-1.5192107,-43.51088
53978125,-1.5129659,-43.367142
54007812.5,-1.5406325,-43.566231
54037500,-1.5298728,-43.664173
54067187.5,-1.4910206,-43.572327
54096875,-1.5215242,-43.669704
54126562.5,-1.5055103,-43.511971
54156250,-1.5126561,-43.470798
54185937.5,-1.5072341,-43.697735
54215625,-1.4821612,-43.661049
54245312.5,-1.4912051,-43.668365
54275000,-1.4950008,-43.645687
54304687.5,-1.4938083,-43.706375
54334375,-1.4866382,-43.764057
54364062.5,-1.4881009,-43.715813
54393750,-1.4873919,-43.789776
54423437.5,-1.4945686,-43.934334
54453125,-1.4718181,-43.703857
54482812.5,-1.4784523,-43.671326
54512500,-1.4716119,-43.793945
54542187.5,-1.4576267,-43.846924
54571875,-1.4973497,-43.839249
54601562.5,-1.4756318,-43.757183
54631250,-1.4568253,-44.060116
54660937.5,-1.4558998,-43.795452
54690625,-1.4611485,-44.067455
54720312.5,-1.4383242,-43.90345
54750000,-1.4726286,-43.985931
54779687.5,-1.46193,-43.981846
54809375,-1.4267296,-44.130947
54839062.5,-1.462675,-44.120502
54868750,-1.4375765,-43.971897
54898437.5,-1.4383574,-44.233002
54928125,-1.4527347,-44.012516
54957812.5,-1.4491531,-44.16124
54987500,-1.4503311,-44.256485
55017187.5,-1.4521462,-44.37265
55046875,-1.450322,-44.137218
55076562.5,-1.4075648,-44.358929
55106250,-1.4457732,-44.335537
55135937.5,-1.4271977,-44.264259
55165625,-1.4161304,-44.308266
55195312.5,-1.4334021,-44.430725
55225000,-1.408039,-44.291309
55254687.5,-1.4134023,-44.51046
55284375,-1.4178156,-44.565445
55314062.5,-1.4299991,-44.398266
55343750,-1.4188936,-44.473221
55373437.5,-1.3929056,-44.580677
55403125,-1.4140962,-44.634022
55432812.5,-1.4009391,-44.705936
55462500,-1.3939829,-44.588703
55492187.5,-1.4080248,-44.845676
55521875,-1.4410397,-44.56456
55551562.5,-1.3871356,-44.593513
55581250,-1.3891742,-44.732903
55610937.5,-1.3873076,-44.902519
55640625,-1.4024383,-44.909962
55670312.5,-1.4141811,-44.777359
55700000,-1.4141941,-45.005459
55729687.5,-1.4172238,-44.805061
55759375,-1.3931445,-45.032913
55789062.5,-1.3967714,-44.946186
55818750,-1.3947861,-45.067692
55848437.5,-1.3772693,-44.888996
55878125,-1.4003869,-45.061337
55907812.5,-1.3916187,-45.113701
55937500,-1.3682241,-45.215286
55967187.5,-1.3706084,-45.2159
55996875,-1.3982261,-45.245743
56026562.5,-1.3714166,-45.201054
56056250,-1.3936038,-45.187153
56085937.5,-1.3712667,-45.546665
56115625,-1.4242716,-45.299286
56145312.5,-1.377713,-45.492474
56175000,-1.3828876,-45.515957
56204687.5,-1.3760233,-45.457256
56234375,-1.3978715,-45.55909
56264062.5,-1.3771625,-45.479469
56293750,-1.3822999,-45.474083
56323437.5,-1.4035724,-45.559681
56353125,-1.3875391,-45.665501
56382812.5,-1.369326,-45.597778
56412500,-1.3980428,-45.840069
56442187.5,-1.3945246,-45.613018
56471875,-1.3903269,-45.796764
56501562.5,-1.3897133,-45.825939
56531250,-1.3872975,-45.845879
56560937.5,-1.3921474,-46.009075
56590625,-1.3656009,-45.995644
56620312.5,-1.3587083,-45.896439
56650000,-1.3971562,-45.982327
56679687.5,-1.3838534,-45.98645
56709375,-1.3995697,-45.994724
56739062.5,-1.3662874,-46.04594
56768750,-1.3894619,-46.211681
56798437.5,-1.3917223,-46.157494
56828125,-1.3954895,-46.099159
56857812.5,-1.3860706,-46.203197
56887500,-1.3769237,-46.216087
56917187.5,-1.3888508,-46.167355
56946875,-1.3831396,-46.263741
56976562.5,-1.3851955,-46.230862
57006250,-1.3866516,-46.532867
57035937.5,-1.3765188,-46.306267
57065625,-1.3794817,-46.486298
57095312.5,-1.3839493,-46.434456
57125000,-1.3669828,-46.493431
57154687.5,-1.3871937,-46.669079
57184375,-1.4019457,-46.734413
57214062.5,-1.403724,-46.646851
57243750,-1.3944212,-46.528797
57273437.5,-1.3964031,-46.684704
57303125,-1.4084873,-46.8293
57332812.5,-1.4052536,-46.750175
57362500,-1.3745265,-46.811718
57392187.5,-1.4053371,-46.839207
57421875,-1.4097033,-46.851101
57451562.5,-1.417884,-47.024475
57481250,-1.3848799,-46.945301
57510937.5,-1.3958055,-46.937492
57540625,-1.3995248,-47.012352
57570312.5,-1.4188436,-46.999611
57600000,-1.4038229,-47.092945
57629687.5,-1.4293718,-47.125519
57659375,-1.3892479,-47.149113
57689062.5,-1.4318005,-47.096695
57718750,-1.4145961,-47.256996
57748437.5,-1.4124035,-47.185291
57778125,-1.4052935,-47.222775
57807812.5,-1.4192908,-47.344723
57837500,-1.4329038,-47.368156
57867187.5,-1.4201746,-47.346844
57896875,-1.4278963,-47.461308
57926562.5,-1.4016887,-47.351856
57956250,-1.4171137,-47.503681
57985937.5,-1.4084812,-47.510662
58015625,-1.4268882,-47.683933
58045312.5,-1.4166502,-47.473133
58075000,-1.4285175,-47.473595
58104687.5,-1.4001575,-47.491573
58134375,-1.4390435,-47.618057
58164062.5,-1.4234093,-47.673218
58193750,-1.418105,-47.729557
58223437.5,-1.4108647,-47.869183
58253125,-1.4481422,-47.740826
58282812.5,-1.446137,-47.888523
58312500,-1.4432634,-47.796886
58342187.5,-1.4533546,-47.814331
58371875,-1.4592273,-47.842545
58401562.5,-1.4429657,-47.986874
58431250,-1.4542643,-47.926495
58460937.5,-1.46562,-47.942844
58490625,-1.4690838,-48.122288
58520312.5,-1.4553126,-48.121304
58550000,-1.4654036,-48.0117
58579687.5,-1.4694301,-48.219269
58609375,-1.504275,-48.054962
58639062.5,-1.486491,-48.215092
58668750,-1.4656663,-48.208221
58698437.5,-1.4718809,-48.182629
58728125,-1.4669669,-48.168476
58757812.5,-1.4535407,-48.220955
58787500,-1.4802376,-48.311832
58817187.5,-1.4892516,-48.422611
58846875,-1.4820508,-48.279274
58876562.5,-1.4525369,-48.370831
58906250,-1.4942319,-48.446011
58935937.5,-1.5124761,-48.398453
58965625,-1.5026702,-48.582611
58995312.5,-1.4914396,-48.499439
59025000,-1.4979368,-48.609287
59054687.5,-1.5179902,-48.460514
59084375,-1.5127785,-48.538563
59114062.5,-1.4741085,-48.577045
59143750,-1.5076796,-48.625877
59173437.5,-1.521168,-48.539822
59203125,-1.5283773,-48.707798
59232812.5,-1.5072696,-48.686352
59262500,-1.5243648,-48.460796
59292187.5,-1.5191884,-48.78878
59321875,-1.5306509,-48.745018
59351562.5,-1.5419466,-48.654228
59381250,-1.524812,-48.694561
59410937.5,-1.5349555,-48.827358
59440625,-1.548231,-48.7411
59470312.5,-1.5570918,-48.759548
59500000,-1.5376406,-48.650871
59529687.5,-1.5621008,-48.681141
59559375,-1.5563173,-48.67902
59589062.5,-1.5349514,-48.767536
59618750,-1.5650353,-48.750088
59648437.5,-1.5632913,-48.635468
59678125,-1.5768223,-48.846306
59707812.5,-1.5816139,-48.880135
59737500,-1.5778527,-48.859531
59767187.5,-1.5756143,-48.93074
59796875,-1.5753151,-48.970203
59826562.5,-1.5903697,-49.029926
59856250,-1.5915022,-49.047993
59885937.5,-1.5834662,-49.072224
59915625,-1.5585756,-48.900295
59945312.5,-1.5928646,-48.881012
