!CSV A.01.01
!Agilent Technologies,N5230C,MY49001079,A.09.31.02
!Agilent N5230C: A.09.31.02
!Date: Friday, November 15, 2019 16:13:02
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
50000000,-1.286526,-44.485832
50029687.5,-1.3029946,-44.751091
50059375,-1.3209586,-44.580936
50089062.5,-1.3398166,-44.500122
50118750,-1.3018193,-44.596664
50148437.5,-1.3249158,-44.568447
50178125,-1.3596116,-44.516857
50207812.5,-1.3386738,-44.716366
50237500,-1.351058,-44.597214
50267187.5,-1.3394735,-44.653458
50296875,-1.3715835,-44.774197
50326562.5,-1.3570849,-44.686272
50356250,-1.3798488,-44.649509
50385937.5,-1.4102097,-44.563004
50415625,-1.4129618,-44.637531
50445312.5,-1.3992878,-44.623959
50475000,-1.4052875,-44.606224
50504687.5,-1.4210752,-44.663189
50534375,-1.4336708,-44.587791
50564062.5,-1.4251159,-44.672775
50593750,-1.4223123,-44.619156
50623437.5,-1.4424587,-44.806927
50653125,-1.4365441,-44.481895
50682812.5,-1.4598267,-44.612492
50712500,-1.466833,-44.701145
50742187.5,-1.48555,-44.454052
50771875,-1.4786534,-44.555416
50801562.5,-1.491214,-44.453697
50831250,-1.4896315,-44.489143
50860937.5,-1.4977822,-44.629059
50890625,-1.4991356,-44.590248
50920312.5,-1.4883792,-44.643761
50950000,-1.5099541,-44.471069
50979687.5,-1.5123671,-44.443089
51009375,-1.511586,-44.576134
51039062.5,-1.5252795,-44.593349
51068750,-1.5358799,-44.364864
51098437.5,-1.5341802,-44.474831
51128125,-1.5425625,-44.381996
51157812.5,-1.5282141,-44.30415
51187500,-1.5331554,-44.349842
51217187.5,-1.5392461,-44.433643
51246875,-1.5491519,-44.376278
51276562.5,-1.5536574,-44.288197
51306250,-1.5792816,-44.430805
51335937.5,-1.5718391,-44.300507
51365625,-1.5833757,-44.298519
51395312.5,-1.5938227,-44.168926
51425000,-1.5722995,-44.220287
51454687.5,-1.5825604,-44.169941
51484375,-1.591298,-44.28093
51514062.5,-1.5992202,-44.368664
51543750,-1.5855738,-44.317139
51573437.5,-1.6092638,-44.199387
51603125,-1.6058538,-44.233532
51632812.5,-1.6087931,-44.154217
51662500,-1.5957482,-44.157188
51692187.5,-1.5965863,-44.1521
51721875,-1.6023642,-44.061367
51751562.5,-1.6000998,-44.01173
51781250,-1.6240852,-44.126678
51810937.5,-1.607704,-44.136726
51840625,-1.623615,-44.005733
51870312.5,-1.6308702,-44.030746
51900000,-1.6075749,-44.069527
51929687.5,-1.6210177,-43.9077
51959375,-1.6321201,-43.908897
51989062.5,-1.6089698,-43.94772
52018750,-1.6370318,-43.944759
52048437.5,-1.6145457,-43.753376
52078125,-1.6056565,-43.977951
52107812.5,-1.6312528,-43.906586
52137500,-1.6234698,-43.838604
52167187.5,-1.6065587,-43.825768
52196875,-1.6314685,-43.787598
52226562.5,-1.6189002,-43.886368
52256250,-1.6191919,-43.727501
52285937.5,-1.6292775,-43.812107
52315625,-1.6409521,-43.585388
52345312.5,-1.608776,-43.724537
52375000,-1.62744,-43.792683
52404687.5,-1.6036437,-43.577965
52434375,-1.6184777,-43.7752
52464062.5,-1.641004,-43.600853
52493750,-1.6268164,-43.505028
52523437.5,-1.6285719,-43.600578
52553125,-1.6162338,-43.664417
52582812.5,-1.6119496,-43.47113
52612500,-1.6041054,-43.421646
52642187.5,-1.6223451,-43.629478
52671875,-1.6167334,-43.69326
52701562.5,-1.5935283,-43.507286
52731250,-1.6195678,-43.581974
52760937.5,-1.6200504,-43.544918
52790625,-1.5973576,-43.419216
52820312.5,-1.6041952,-43.443432
52850000,-1.601712,-43.55727
52879687.5,-1.6052155,-43.513004
52909375,-1.6140311,-43.562054
52939062.5,-1.6080863,-43.564682
