!CSV A.01.01
!Agilent Technologies,N5230C,MY49001079,A.09.31.02
!Agilent N5230C: A.09.31.02
!Date: Friday, November 15, 2019 16:13:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
50000000,-1.277335,-44.351013
50029687.5,-1.3101419,-44.755749
50059375,-1.312137,-44.606895
50089062.5,-1.3240937,-44.52
50118750,-1.3105756,-44.662632
50148437.5,-1.3231934,-44.60247
50178125,-1.3472563,-44.547432
50207812.5,-1.3325338,-44.586109
50237500,-1.3486899,-44.691448
50267187.5,-1.3416696,-44.633881
50296875,-1.3677138,-44.709854
50326562.5,-1.3831291,-44.747238
50356250,-1.3745589,-44.65974
50385937.5,-1.4127902,-44.65527
50415625,-1.3968536,-44.536545
50445312.5,-1.3929495,-44.617516
50475000,-1.4091007,-44.521519
50504687.5,-1.4158838,-44.562599
50534375,-1.4400009,-44.566128
50564062.5,-1.4209734,-44.589069
50593750,-1.433668,-44.574352
50623437.5,-1.4227798,-44.844852
50653125,-1.4585166,-44.528881
50682812.5,-1.4665939,-44.583176
50712500,-1.4461238,-44.680077
50742187.5,-1.4849517,-44.454845
50771875,-1.4814731,-44.5364
50801562.5,-1.4877262,-44.590946
50831250,-1.4798143,-44.468472
50860937.5,-1.4941514,-44.508007
50890625,-1.5049621,-44.542076
50920312.5,-1.4920145,-44.644943
50950000,-1.5198172,-44.431595
50979687.5,-1.5144964,-44.417404
51009375,-1.5070853,-44.544376
51039062.5,-1.5181216,-44.61105
51068750,-1.5347754,-44.210491
51098437.5,-1.5255927,-44.426598
51128125,-1.5404642,-44.311596
51157812.5,-1.5276881,-44.473488
51187500,-1.5425209,-44.344376
51217187.5,-1.5464648,-44.43272
51246875,-1.5572127,-44.379845
51276562.5,-1.5627906,-44.402794
51306250,-1.5747719,-44.269508
51335937.5,-1.5850905,-44.227089
51365625,-1.5798919,-44.37598
51395312.5,-1.5935498,-44.170425
51425000,-1.5844252,-44.281605
51454687.5,-1.5912427,-44.29591
51484375,-1.5962778,-44.308697
51514062.5,-1.5999839,-44.230057
51543750,-1.5746371,-44.291817
51573437.5,-1.5984457,-44.201599
51603125,-1.6009542,-44.269363
51632812.5,-1.601523,-44.065727
51662500,-1.5973605,-44.256626
51692187.5,-1.5901718,-44.108395
