!CSV A.01.01
!Agilent Technologies,N5230C,MY49001079,A.09.31.02
!Agilent N5230C: A.09.31.02
!Date: Friday, November 15, 2019 16:13:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
50000000,-1.2925254,-44.494869
50029687.5,-1.3046025,-44.765793
50059375,-1.3140178,-44.70488
50089062.5,-1.3310425,-44.572197
50118750,-1.3075362,-44.637085
50148437.5,-1.3210614,-44.542011
50178125,-1.3457094,-44.471828
50207812.5,-1.3564072,-44.529358
50237500,-1.3447773,-44.635975
50267187.5,-1.3405464,-44.624249
50296875,-1.3676083,-44.764675
50326562.5,-1.3792158,-44.575371
50356250,-1.3729713,-44.656345
50385937.5,-1.3960004,-44.644257
50415625,-1.4244525,-44.553967
50445312.5,-1.4060243,-44.672131
50475000,-1.4121854,-44.5308
50504687.5,-1.4148135,-44.573967
50534375,-1.4306231,-44.549026
50564062.5,-1.4289818,-44.672268
50593750,-1.4292333,-44.607082
50623437.5,-1.4451197,-44.711708
50653125,-1.4373661,-44.483799
50682812.5,-1.4657066,-44.531277
50712500,-1.4485502,-44.651524
50742187.5,-1.4859699,-44.502064
50771875,-1.4911517,-44.535095
50801562.5,-1.4857367,-44.608486
50831250,-1.4989809,-44.463837
50860937.5,-1.4944923,-44.565067
50890625,-1.4976079,-44.550926
50920312.5,-1.4934498,-44.649353
50950000,-1.5195786,-44.399117
50979687.5,-1.5139111,-44.535416
51009375,-1.5103596,-44.583214
51039062.5,-1.5160264,-44.537243
51068750,-1.5231642,-44.355461
51098437.5,-1.5378293,-44.360268
51128125,-1.535086,-44.401016
51157812.5,-1.53193,-44.281624
51187500,-1.5430605,-44.450882
51217187.5,-1.5501156,-44.39241
51246875,-1.5432256,-44.378212
51276562.5,-1.5595554,-44.390118
51306250,-1.5801331,-44.338089
51335937.5,-1.5747972,-44.30481
51365625,-1.5713769,-44.400688
51395312.5,-1.590796,-44.118233
51425000,-1.5693064,-44.29351
51454687.5,-1.584367,-44.242374
51484375,-1.5868915,-44.271168
51514062.5,-1.5945151,-44.271935
51543750,-1.5977104,-44.23357
51573437.5,-1.592423,-44.196243
51603125,-1.597438,-44.183517
51632812.5,-1.6088258,-44.050919
51662500,-1.6033463,-44.080429
51692187.5,-1.596274,-44.117516
51721875,-1.5850985,-44.053131
51751562.5,-1.5969822,-44.024506
51781250,-1.621155,-43.931038
51810937.5,-1.6147676,-44.046867
51840625,-1.6105249,-43.98637
51870312.5,-1.6325113,-44.079414
51900000,-1.6011647,-44.05476
51929687.5,-1.62602,-43.913937
51959375,-1.6270407,-43.868279
51989062.5,-1.6095252,-43.951546
52018750,-1.6250811,-43.904053
52048437.5,-1.6146169,-43.910362
52078125,-1.6257108,-44.076641
52107812.5,-1.622599,-43.959484
52137500,-1.6263323,-43.784233
52167187.5,-1.6217535,-43.787487
52196875,-1.6280255,-43.698719
52226562.5,-1.6161066,-43.812725
52256250,-1.6284145,-43.650463
52285937.5,-1.6291349,-43.751286
52315625,-1.6424929,-43.529846
52345312.5,-1.6183424,-43.678574
52375000,-1.6172857,-43.74081
52404687.5,-1.623841,-43.563267
52434375,-1.6117069,-43.735096
52464062.5,-1.6478828,-43.554379
52493750,-1.6169062,-43.602116
52523437.5,-1.6320268,-43.679783
52553125,-1.6191524,-43.67165
52582812.5,-1.6056603,-43.542011
52612500,-1.6064017,-43.354446
52642187.5,-1.6301394,-43.625648
52671875,-1.6220324,-43.693352
52701562.5,-1.6070526,-43.560982
52731250,-1.6112822,-43.465183
52760937.5,-1.642822,-43.566921
52790625,-1.6054935,-43.348484
52820312.5,-1.6187104,-43.520164
52850000,-1.6072804,-43.613674
52879687.5,-1.6163976,-43.527447
52909375,-1.5980921,-43.516224
52939062.5,-1.6210456,-43.491245
52968750,-1.6092188,-43.489143
52998437.5,-1.6043004,-43.56385
53028125,-1.5970961,-43.45507
53057812.5,-1.6012388,-43.338326
53087500,-1.5845333,-43.433895
53117187.5,-1.6132847,-43.404381
53146875,-1.5779121,-43.21735
53176562.5,-1.5772768,-43.301712
53206250,-1.5866915,-43.439606
53235937.5,-1.5875834,-43.520248
53265625,-1.6084567,-43.43914
53295312.5,-1.5830337,-43.302113
53325000,-1.5700693,-43.476837
53354687.5,-1.5578619,-43.390766
53384375,-1.5688711,-43.401772
53414062.5,-1.5698335,-43.45723
53443750,-1.5771832,-43.451443
53473437.5,-1.5536839,-43.471928
53503125,-1.5654101,-43.522175
53532812.5,-1.5524162,-43.444149
53562500,-1.5627614,-43.576519
53592187.5,-1.5737423,-43.484531
53621875,-1.5538473,-43.477604
53651562.5,-1.5543853,-43.437603
53681250,-1.5242494,-43.440044
53710937.5,-1.5468656,-43.404179
53740625,-1.5363063,-43.400265
53770312.5,-1.5191333,-43.370689
53800000,-1.5425099,-43.622173
53829687.5,-1.5433342,-43.408417
53859375,-1.5362846,-43.470272
53889062.5,-1.5359046,-43.607311
53918750,-1.5178976,-43.63377
53948437.5,-1.5202121,-43.522491
53978125,-1.5222455,-43.420326
54007812.5,-1.5546664,-43.578918
54037500,-1.5188701,-43.664097
54067187.5,-1.4973941,-43.655006
54096875,-1.5218666,-43.677254
54126562.5,-1.5155879,-43.542885
54156250,-1.5027925,-43.674847
54185937.5,-1.4919186,-43.716507
54215625,-1.4947567,-43.787796
54245312.5,-1.4889183,-43.721176
54275000,-1.4906996,-43.599857
54304687.5,-1.4887681,-43.664036
54334375,-1.4876784,-43.707909
54364062.5,-1.4943585,-43.786942
54393750,-1.4887897,-43.743073
54423437.5,-1.4921364,-43.962711
54453125,-1.47484,-43.748177
54482812.5,-1.4735709,-43.758175
54512500,-1.4801621,-43.809586
54542187.5,-1.469605,-43.840492
54571875,-1.4973178,-43.754059
54601562.5,-1.4698678,-43.751076
54631250,-1.4636624,-43.853413
54660937.5,-1.4556686,-43.786224
54690625,-1.4522635,-44.095341
54720312.5,-1.4443388,-43.970261
54750000,-1.4399604,-43.972355
54779687.5,-1.4595112,-44.013065
54809375,-1.4535309,-44.207001
54839062.5,-1.4429232,-44.16312
54868750,-1.4314817,-44.11964
54898437.5,-1.4510589,-44.153873
54928125,-1.4496064,-44.080887
54957812.5,-1.4409401,-44.205215
54987500,-1.4481125,-44.198402
55017187.5,-1.4464173,-44.366604
55046875,-1.4527805,-44.258194
55076562.5,-1.4288467,-44.380066
55106250,-1.4223632,-44.31086
55135937.5,-1.4217117,-44.211246
55165625,-1.4092904,-44.390453
55195312.5,-1.4413282,-44.48978
55225000,-1.3950409,-44.414696
55254687.5,-1.4198337,-44.36335
55284375,-1.4191158,-44.498463
55314062.5,-1.4353786,-44.43996
55343750,-1.4160593,-44.46645
55373437.5,-1.3943639,-44.572155
55403125,-1.4170566,-44.748764
55432812.5,-1.4055808,-44.70908
55462500,-1.42081,-44.525738
55492187.5,-1.4206446,-44.893875
55521875,-1.4201214,-44.55925
55551562.5,-1.3999956,-44.635113
55581250,-1.3898327,-44.757664
55610937.5,-1.3924718,-44.857239
55640625,-1.4012421,-44.977955
55670312.5,-1.4167287,-44.849411
55700000,-1.41439,-45.095989
55729687.5,-1.4232155,-44.897198
55759375,-1.404835,-44.973614
55789062.5,-1.3908254,-44.988808
55818750,-1.387488,-45.065628
55848437.5,-1.374813,-44.947186
55878125,-1.3987762,-45.069538
55907812.5,-1.400959,-45.09285
55937500,-1.3846436,-45.123821
55967187.5,-1.3782934,-45.187069
55996875,-1.3895968,-45.091831
56026562.5,-1.3683971,-45.248264
56056250,-1.398694,-45.210945
56085937.5,-1.3781425,-45.391922
56115625,-1.4100504,-45.405327
56145312.5,-1.3817841,-45.486771
56175000,-1.3730308,-45.610691
56204687.5,-1.3649182,-45.407112
56234375,-1.3765541,-45.543549
56264062.5,-1.3721645,-45.536488
56293750,-1.3740821,-45.410961
56323437.5,-1.3915437,-45.63139
56353125,-1.382897,-45.66515
56382812.5,-1.3467051,-45.665882
56412500,-1.3965125,-45.762569
56442187.5,-1.388135,-45.689484
56471875,-1.3874282,-45.769688
56501562.5,-1.3787397,-45.813358
56531250,-1.3931799,-45.896698
56560937.5,-1.3904278,-45.849213
56590625,-1.3717645,-46.11673
56620312.5,-1.3699807,-45.885548
56650000,-1.3963436,-46.106747
56679687.5,-1.3780388,-45.987232
56709375,-1.4044985,-46.03548
56739062.5,-1.3654542,-46.090122
56768750,-1.3856558,-46.206947
56798437.5,-1.3771961,-46.231075
56828125,-1.3876681,-46.11393
56857812.5,-1.3729503,-46.214046
56887500,-1.3886087,-46.171562
56917187.5,-1.386736,-46.176701
56946875,-1.3873882,-46.316891
56976562.5,-1.3881733,-46.287933
57006250,-1.3865744,-46.34259
57035937.5,-1.3696482,-46.372753
57065625,-1.366042,-46.465397
57095312.5,-1.3954161,-46.542992
57125000,-1.3707367,-46.487885
57154687.5,-1.3853698,-46.594734
57184375,-1.3987467,-46.675098
57214062.5,-1.3958868,-46.681747
57243750,-1.3918227,-46.575275
57273437.5,-1.3984146,-46.785763
57303125,-1.4071478,-46.759109
57332812.5,-1.4009641,-46.713459
57362500,-1.3911934,-46.899048
57392187.5,-1.3941453,-46.866688
57421875,-1.4087619,-46.870186
57451562.5,-1.4132438,-46.928448
57481250,-1.3988138,-46.984695
57510937.5,-1.390548,-46.80714
57540625,-1.3937818,-46.984241
57570312.5,-1.4057413,-46.950024
57600000,-1.3989166,-47.042278
57629687.5,-1.4354804,-47.022419
57659375,-1.399237,-47.236485
57689062.5,-1.4299917,-47.170826
57718750,-1.4188442,-47.226753
57748437.5,-1.4148915,-47.177128
57778125,-1.4015057,-47.254341
57807812.5,-1.4180235,-47.353519
57837500,-1.4389822,-47.48304
57867187.5,-1.4102192,-47.308262
57896875,-1.4201885,-47.430077
57926562.5,-1.4226438,-47.463242
57956250,-1.4345552,-47.459183
57985937.5,-1.4263883,-47.558517
58015625,-1.4248199,-47.642487
58045312.5,-1.4163824,-47.359444
58075000,-1.4323777,-47.591572
58104687.5,-1.4098518,-47.463188
58134375,-1.4485928,-47.694164
58164062.5,-1.4101335,-47.741539
58193750,-1.4370919,-47.622852
58223437.5,-1.4251006,-47.880333
58253125,-1.4514353,-47.665783
58282812.5,-1.4583503,-47.851967
58312500,-1.4572376,-47.899082
58342187.5,-1.4368453,-47.813046
58371875,-1.4540327,-47.878326
58401562.5,-1.4398,-47.971039
58431250,-1.4382485,-47.992424
58460937.5,-1.4733132,-47.955093
58490625,-1.4512087,-48.012066
58520312.5,-1.4551948,-48.107475
58550000,-1.4711694,-48.155998
58579687.5,-1.456298,-48.137371
58609375,-1.4949639,-48.130867
58639062.5,-1.4638128,-48.297001
58668750,-1.472232,-48.273609
58698437.5,-1.4743036,-48.204208
58728125,-1.4699014,-48.203106
58757812.5,-1.4515104,-48.246773
58787500,-1.4824406,-48.256805
58817187.5,-1.4844863,-48.438854
58846875,-1.4839211,-48.227299
58876562.5,-1.4780949,-48.310764
58906250,-1.4994222,-48.351532
58935937.5,-1.5031766,-48.401886
58965625,-1.5069197,-48.412762
58995312.5,-1.5209457,-48.524498
59025000,-1.5018364,-48.607647
59054687.5,-1.4868832,-48.564594
59084375,-1.5152769,-48.569855
59114062.5,-1.4766544,-48.501728
59143750,-1.5010846,-48.596882
59173437.5,-1.5134361,-48.52721
59203125,-1.5222749,-48.687614
59232812.5,-1.5155208,-48.62923
59262500,-1.5209984,-48.541325
59292187.5,-1.5147171,-48.722919
59321875,-1.541494,-48.739529
59351562.5,-1.543129,-48.635193
59381250,-1.5112636,-48.557014
59410937.5,-1.5361296,-48.721958
59440625,-1.5442321,-48.857796
59470312.5,-1.5364695,-48.859665
59500000,-1.5364673,-48.702854
59529687.5,-1.557067,-48.655071
59559375,-1.5531125,-48.734081
59589062.5,-1.5465674,-48.853615
59618750,-1.5649164,-48.850124
59648437.5,-1.544538,-48.804737
59678125,-1.5648878,-48.757465
59707812.5,-1.5892148,-48.900085
59737500,-1.5733025,-48.874939
59767187.5,-1.5725664,-48.904453
59796875,-1.5763097,-48.988995
59826562.5,-1.5853149,-48.937168
59856250,-1.5891221,-49.036861
59885937.5,-1.5952474,-49.028267
59915625,-1.5746034,-48.979382
59945312.5,-1.561893,-48.907372
59975000,-1.5981654,-49.153473
60004687.5,-1.5877599,-48.989773
60034375,-1.6099744,-49.087212
60064062.5,-1.6045258,-49.05246
60093750,-1.6064402,-49.022915
60123437.5,-1.6016556,-49.204868
60153125,-1.6187502,-48.964016
60182812.5,-1.6294045,-49.184616
60212500,-1.6162654,-49.035686
60242187.5,-1.621779,-48.947472
60271875,-1.6262515,-48.999638
60301562.5,-1.6201986,-49.160431
60331250,-1.6222037,-49.140247
60360937.5,-1.6271096,-49.075325
60390625,-1.6087918,-49.164047
60420312.5,-1.6425307,-49.13446
60450000,-1.614574,-48.975975
60479687.5,-1.6243362,-48.852436
60509375,-1.6330309,-49.059414
60539062.5,-1.6522099,-49.154053
60568750,-1.6390766,-48.981007
60598437.5,-1.6320635,-49.101486
60628125,-1.6478353,-49.179379
60657812.5,-1.6376568,-49.057507
60687500,-1.6610283,-49.058647
60717187.5,-1.6567975,-48.862183
60746875,-1.6498476,-49.005589
60776562.5,-1.6517254,-49.066044
60806250,-1.6464458,-49.067039
60835937.5,-1.6449261,-48.932613
60865625,-1.6715848,-48.886547
60895312.5,-1.6693425,-49.10387
60925000,-1.6705052,-49.027763
60954687.5,-1.6799117,-49.229233
60984375,-1.6587807,-48.992233
61014062.5,-1.6373466,-49.170334
61043750,-1.6658338,-49.08884
61073437.5,-1.6570567,-48.964706
61103125,-1.6701374,-48.922283
61132812.5,-1.6618907,-49.014244
61162500,-1.6833982,-48.976021
61192187.5,-1.6507145,-48.9632
61221875,-1.6442904,-48.943043
61251562.5,-1.6600573,-48.95507
61281250,-1.6608179,-49.036346
61310937.5,-1.6645991,-48.867992
61340625,-1.6370189,-48.840942
61370312.5,-1.659421,-49.056862
61400000,-1.6480755,-48.854206
61429687.5,-1.6629344,-48.900452
61459375,-1.6598455,-48.889725
61489062.5,-1.6430081,-48.772751
61518750,-1.6392723,-48.955231
61548437.5,-1.6480139,-48.913067
61578125,-1.6306559,-48.742188
61607812.5,-1.6442726,-48.888695
61637500,-1.6288989,-48.917599
61667187.5,-1.634683,-48.965118
61696875,-1.6317669,-48.908478
