!CSV A.01.01
!Agilent Technologies,N5230C,MY49001079,A.09.31.02
!Agilent N5230C: A.09.31.02
!Date: Friday, November 15, 2019 16:14:12
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
50000000,-1.274493,-44.4865
50029687.5,-1.3178116,-44.7953
50059375,-1.3212568,-44.69619
50089062.5,-1.3222723,-44.534321
50118750,-1.2992232,-44.572586
50148437.5,-1.3116004,-44.580666
50178125,-1.3363768,-44.450813
50207812.5,-1.3276873,-44.589672
50237500,-1.3515966,-44.414963
50267187.5,-1.340692,-44.527588
50296875,-1.3594095,-44.766506
50326562.5,-1.3786036,-44.66552
50356250,-1.3629739,-44.595669
50385937.5,-1.4064082,-44.619205
50415625,-1.4110806,-44.537807
50445312.5,-1.40283,-44.63958
50475000,-1.4077113,-44.559444
50504687.5,-1.4259719,-44.551754
50534375,-1.4175935,-44.580933
50564062.5,-1.4020728,-44.561367
50593750,-1.4401276,-44.504375
50623437.5,-1.4481803,-44.802307
50653125,-1.4509485,-44.461266
50682812.5,-1.468529,-44.607487
50712500,-1.4505731,-44.610435
50742187.5,-1.4777557,-44.517689
50771875,-1.4787869,-44.492538
50801562.5,-1.4961287,-44.585186
50831250,-1.4969105,-44.530025
50860937.5,-1.4859742,-44.603695
50890625,-1.4956055,-44.487659
50920312.5,-1.4966602,-44.595707
50950000,-1.5294963,-44.484543
50979687.5,-1.5177207,-44.528927
51009375,-1.498143,-44.507984
51039062.5,-1.5213581,-44.535599
51068750,-1.5231965,-44.36734
51098437.5,-1.5388606,-44.40044
51128125,-1.5396093,-44.384129
51157812.5,-1.5220202,-44.508324
51187500,-1.5422599,-44.371979
51217187.5,-1.5495458,-44.435017
51246875,-1.5652095,-44.381561
51276562.5,-1.5635144,-44.396233
51306250,-1.5673778,-44.355675
51335937.5,-1.5684495,-44.274841
51365625,-1.5761535,-44.349731
51395312.5,-1.5940522,-44.138603
51425000,-1.5607617,-44.290951
51454687.5,-1.5990474,-44.199215
51484375,-1.5987881,-44.227295
51514062.5,-1.5852581,-44.221386
51543750,-1.5937375,-44.212944
51573437.5,-1.6013805,-44.090107
51603125,-1.5851694,-44.234547
51632812.5,-1.6141119,-44.121998
51662500,-1.6081315,-44.106266
51692187.5,-1.5884893,-44.110035
51721875,-1.5882419,-44.039387
51751562.5,-1.5932685,-44.006416
51781250,-1.612313,-44.026215
51810937.5,-1.6072365,-44.049812
51840625,-1.6195409,-44.051521
51870312.5,-1.6454439,-44.110344
51900000,-1.6057588,-43.964886
51929687.5,-1.6139122,-43.849194
51959375,-1.6282188,-43.911236
51989062.5,-1.6071348,-43.887474
52018750,-1.6297657,-43.929367
52048437.5,-1.6212136,-43.830265
52078125,-1.623669,-43.955715
52107812.5,-1.6094303,-43.962505
52137500,-1.6161863,-43.917393
52167187.5,-1.6099707,-43.837345
52196875,-1.6286055,-43.711498
52226562.5,-1.6216338,-43.739441
52256250,-1.6093396,-43.656704
52285937.5,-1.617951,-43.757923
52315625,-1.6355877,-43.586914
52345312.5,-1.615597,-43.739399
52375000,-1.6288253,-43.73856
52404687.5,-1.6126958,-43.689095
52434375,-1.6160586,-43.714466
52464062.5,-1.641265,-43.695068
52493750,-1.6048158,-43.563183
52523437.5,-1.6480557,-43.542789
52553125,-1.6104523,-43.543964
52582812.5,-1.6122484,-43.441311
52612500,-1.6075156,-43.427799
52642187.5,-1.6164639,-43.49403
52671875,-1.6149333,-43.640545
52701562.5,-1.5788794,-43.566978
52731250,-1.6036929,-43.552063
52760937.5,-1.6196256,-43.506481
52790625,-1.6141915,-43.339718
52820312.5,-1.6043961,-43.496967
52850000,-1.6019752,-43.592251
52879687.5,-1.5974312,-43.508427
52909375,-1.6217303,-43.608734
52939062.5,-1.5976759,-43.621334
52968750,-1.6040171,-43.482052
52998437.5,-1.6018313,-43.617943
53028125,-1.5995822,-43.466358
53057812.5,-1.5823414,-43.46854
53087500,-1.5945251,-43.334969
53117187.5,-1.6104586,-43.496166
53146875,-1.593513,-43.319862
