!CSV A.01.01
!Agilent Technologies,N5230C,MY49001079,A.09.31.02
!Agilent N5230C: A.09.31.02
!Date: Friday, November 15, 2019 16:14:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
50000000,-1.288488,-44.389946
50029687.5,-1.29228,-44.686859
50059375,-1.3217545,-44.619274
50089062.5,-1.3347692,-44.543159
50118750,-1.3215336,-44.575905
50148437.5,-1.3221914,-44.585609
50178125,-1.3467705,-44.45509
50207812.5,-1.327652,-44.63913
50237500,-1.3382242,-44.572083
50267187.5,-1.3421949,-44.594376
50296875,-1.364984,-44.636925
50326562.5,-1.3689435,-44.61623
50356250,-1.3672985,-44.645905
50385937.5,-1.3880707,-44.715275
50415625,-1.4083843,-44.510544
50445312.5,-1.4077083,-44.667175
50475000,-1.4071174,-44.488159
50504687.5,-1.4182471,-44.625473
50534375,-1.4231381,-44.654163
50564062.5,-1.4184418,-44.594833
50593750,-1.4333932,-44.636299
50623437.5,-1.4458466,-44.76207
50653125,-1.4292253,-44.574539
50682812.5,-1.4757155,-44.555477
50712500,-1.4593163,-44.709194
50742187.5,-1.4840313,-44.563889
50771875,-1.4817154,-44.477528
50801562.5,-1.4884342,-44.626358
50831250,-1.470981,-44.44413
50860937.5,-1.4890602,-44.505543
50890625,-1.4948444,-44.534054
50920312.5,-1.4911813,-44.661545
50950000,-1.5182223,-44.529083
50979687.5,-1.5260693,-44.43301
51009375,-1.5097495,-44.549225
51039062.5,-1.5317034,-44.513695
51068750,-1.5331686,-44.261398
51098437.5,-1.538384,-44.457565
51128125,-1.5541137,-44.297394
51157812.5,-1.5180649,-44.340439
51187500,-1.5408981,-44.346996
51217187.5,-1.5408306,-44.310207
51246875,-1.5435005,-44.319702
51276562.5,-1.5640448,-44.3811
51306250,-1.556223,-44.424782
51335937.5,-1.5700288,-44.281181
51365625,-1.5772312,-44.334824
51395312.5,-1.5904856,-44.198826
51425000,-1.5801628,-44.283115
51454687.5,-1.5844201,-44.222214
51484375,-1.5889775,-44.288353
51514062.5,-1.5782093,-44.345634
51543750,-1.5825046,-44.247623
51573437.5,-1.5912598,-44.104736
51603125,-1.5979944,-44.173725
51632812.5,-1.6201507,-44.184635
51662500,-1.6070049,-44.154053
51692187.5,-1.5871576,-44.093098
51721875,-1.5862656,-44.07452
51751562.5,-1.611086,-44.000103
51781250,-1.6094236,-43.96331
51810937.5,-1.6077081,-44.212166
51840625,-1.6211712,-43.936012
51870312.5,-1.6421278,-44.079906
51900000,-1.5997125,-43.969059
51929687.5,-1.6156366,-43.825611
51959375,-1.6391199,-43.897751
51989062.5,-1.6057901,-43.840527
52018750,-1.6310717,-43.909946
52048437.5,-1.6244893,-43.813782
52078125,-1.6220803,-43.94989
52107812.5,-1.628898,-43.934006
52137500,-1.6237833,-43.877186
52167187.5,-1.6328088,-43.842285
52196875,-1.6311998,-43.724094
52226562.5,-1.6246767,-43.790733
52256250,-1.6203252,-43.679829
52285937.5,-1.6209251,-43.685448
52315625,-1.647019,-43.61097
52345312.5,-1.622126,-43.691807
52375000,-1.6296118,-43.656113
52404687.5,-1.6114638,-43.478252
52434375,-1.6162931,-43.71743
52464062.5,-1.6414478,-43.667698
52493750,-1.6241554,-43.565121
52523437.5,-1.6423893,-43.628288
52553125,-1.6259276,-43.670353
52582812.5,-1.5998428,-43.504246
52612500,-1.6108255,-43.318329
