!CSV A.01.01
!Agilent Technologies,N5230C,MY49001079,A.09.31.02
!Agilent N5230C: A.09.31.02
!Date: Friday, November 15, 2019 16:14:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
50000000,-1.2852373,-44.498024
50029687.5,-1.3132818,-44.743958
50059375,-1.3188187,-44.647194
50089062.5,-1.3277267,-44.505779
50118750,-1.3241837,-44.65723
50148437.5,-1.3183855,-44.63834
50178125,-1.3435144,-44.511608
50207812.5,-1.3427846,-44.625534
50237500,-1.3437387,-44.574791
50267187.5,-1.3440458,-44.647289
50296875,-1.3721828,-44.719223
50326562.5,-1.3734034,-44.606079
50356250,-1.367942,-44.549915
50385937.5,-1.4030509,-44.573933
50415625,-1.4197595,-44.541611
50445312.5,-1.417322,-44.689056
50475000,-1.3944683,-44.470627
50504687.5,-1.4149971,-44.735825
50534375,-1.430566,-44.522579
50564062.5,-1.4186925,-44.626553
50593750,-1.4279741,-44.648239
50623437.5,-1.4394453,-44.818947
50653125,-1.4493732,-44.580715
50682812.5,-1.470423,-44.643505
50712500,-1.4590384,-44.566872
50742187.5,-1.486387,-44.525063
50771875,-1.4673088,-44.554447
50801562.5,-1.4833573,-44.601673
50831250,-1.4856724,-44.497486
50860937.5,-1.4865003,-44.468472
50890625,-1.5004933,-44.611515
50920312.5,-1.486382,-44.601994
50950000,-1.5209348,-44.450016
50979687.5,-1.5184917,-44.489071
51009375,-1.5200574,-44.57486
51039062.5,-1.5109838,-44.620716
51068750,-1.5275055,-44.306252
51098437.5,-1.5476347,-44.417225
51128125,-1.5399191,-44.368752
51157812.5,-1.5245178,-44.33762
51187500,-1.5396441,-44.386162
51217187.5,-1.5458268,-44.536381
51246875,-1.5505306,-44.347782
51276562.5,-1.564841,-44.386044
51306250,-1.5737472,-44.388924
51335937.5,-1.5804601,-44.314838
51365625,-1.5752168,-44.390182
51395312.5,-1.582643,-44.233635
51425000,-1.5729263,-44.408615
51454687.5,-1.595207,-44.173294
51484375,-1.5993136,-44.300743
51514062.5,-1.6063075,-44.254921
51543750,-1.5950433,-44.306271
51573437.5,-1.5993723,-44.161835
51603125,-1.5943092,-44.173729
51632812.5,-1.6043141,-44.017353
51662500,-1.609316,-44.09848
51692187.5,-1.5854473,-44.087524
51721875,-1.5944536,-44.057037
51751562.5,-1.607006,-44.064426
51781250,-1.6145713,-43.999779
51810937.5,-1.6057351,-44.054173
51840625,-1.6072987,-44.02721
51870312.5,-1.6471202,-44.094898
51900000,-1.5994607,-44.037685
51929687.5,-1.6169933,-43.816311
51959375,-1.6327553,-43.864281
51989062.5,-1.6076649,-43.880482
52018750,-1.6275251,-43.924042
52048437.5,-1.6152627,-43.912605
52078125,-1.6067003,-43.949463
52107812.5,-1.6232637,-43.915993
52137500,-1.6239386,-43.917221
52167187.5,-1.6062347,-43.813133
52196875,-1.6113386,-43.679153
52226562.5,-1.6179249,-43.717987
52256250,-1.6195261,-43.771427
52285937.5,-1.6163348,-43.736626
52315625,-1.6399026,-43.561153
52345312.5,-1.6229203,-43.760616
52375000,-1.6256983,-43.687878
52404687.5,-1.606312,-43.668839
52434375,-1.6132325,-43.694599
52464062.5,-1.6368872,-43.633835
52493750,-1.6261486,-43.581036
52523437.5,-1.636863,-43.679779
52553125,-1.630801,-43.640747
52582812.5,-1.6052698,-43.450645
52612500,-1.6067966,-43.346909
52642187.5,-1.6279576,-43.589897
52671875,-1.6187457,-43.618637
52701562.5,-1.5945003,-43.476139
52731250,-1.6083134,-43.499504
52760937.5,-1.6235677,-43.586418
52790625,-1.6115708,-43.325817
52820312.5,-1.6144166,-43.439915
52850000,-1.6145552,-43.585861
52879687.5,-1.6159199,-43.543518
52909375,-1.6078595,-43.47308
52939062.5,-1.6141843,-43.491638
52968750,-1.6242152,-43.504726
52998437.5,-1.5946975,-43.542843
53028125,-1.595589,-43.440357
53057812.5,-1.5883055,-43.438774
53087500,-1.5945318,-43.389721
53117187.5,-1.5982671,-43.409782
53146875,-1.5895876,-43.34943
53176562.5,-1.5781088,-43.388065
53206250,-1.571528,-43.444973
53235937.5,-1.5942345,-43.494778
53265625,-1.5772328,-43.36652
53295312.5,-1.5756688,-43.354305
53325000,-1.5773367,-43.462559
53354687.5,-1.5686905,-43.392399
53384375,-1.5811182,-43.344269
53414062.5,-1.5649376,-43.514263
53443750,-1.5860933,-43.312008
53473437.5,-1.5731521,-43.400551
53503125,-1.5552258,-43.538883
53532812.5,-1.5446274,-43.453949
53562500,-1.5728866,-43.461754
53592187.5,-1.5616691,-43.387341
53621875,-1.5546399,-43.460606
53651562.5,-1.5489221,-43.30669
53681250,-1.5419241,-43.493446
53710937.5,-1.5503839,-43.456913
53740625,-1.5329988,-43.437679
53770312.5,-1.5202007,-43.444572
53800000,-1.5322931,-43.544655
53829687.5,-1.5471545,-43.458614
53859375,-1.5261719,-43.436031
53889062.5,-1.5481721,-43.490704
53918750,-1.5153562,-43.59544
53948437.5,-1.5267428,-43.453724
53978125,-1.5185599,-43.533985
54007812.5,-1.5384616,-43.647278
54037500,-1.5092179,-43.763767
54067187.5,-1.4976293,-43.577473
54096875,-1.5163819,-43.601486
54126562.5,-1.4898275,-43.463047
54156250,-1.5097327,-43.720005
54185937.5,-1.513855,-43.744232
54215625,-1.5095807,-43.780098
54245312.5,-1.4970459,-43.838745
54275000,-1.5193675,-43.642353
54304687.5,-1.4947219,-43.537231
54334375,-1.5036494,-43.74498
54364062.5,-1.5003415,-43.68359
54393750,-1.4795668,-43.70702
54423437.5,-1.4910733,-43.876137
54453125,-1.4756147,-43.801571
54482812.5,-1.4647883,-43.709446
54512500,-1.4601476,-43.719696
54542187.5,-1.4614826,-43.905048
54571875,-1.4902068,-43.740093
54601562.5,-1.4737989,-43.688869
54631250,-1.4628515,-43.903591
54660937.5,-1.453855,-43.928074
54690625,-1.4571649,-43.98386
54720312.5,-1.4265145,-43.915054
54750000,-1.4626664,-43.908035
54779687.5,-1.4702083,-44.040001
54809375,-1.4402641,-44.105904
54839062.5,-1.4331433,-44.161095
54868750,-1.4468515,-43.995903
54898437.5,-1.4449922,-44.124332
54928125,-1.4431905,-44.002186
54957812.5,-1.4429337,-44.326492
54987500,-1.4499942,-44.146603
55017187.5,-1.45065,-44.379753
55046875,-1.433373,-44.326645
55076562.5,-1.4285879,-44.46278
55106250,-1.4368489,-44.318764
55135937.5,-1.4352407,-44.199322
55165625,-1.4029354,-44.380642
55195312.5,-1.4348925,-44.503151
55225000,-1.4105846,-44.491894
55254687.5,-1.4170893,-44.408573
55284375,-1.4051685,-44.552383
55314062.5,-1.4258848,-44.473888
55343750,-1.4170448,-44.461231
55373437.5,-1.3973835,-44.582062
55403125,-1.4132895,-44.657677
55432812.5,-1.4005785,-44.674816
55462500,-1.4113485,-44.530792
55492187.5,-1.4163736,-44.773468
55521875,-1.415132,-44.689461
55551562.5,-1.4068184,-44.642048
55581250,-1.393842,-44.716999
55610937.5,-1.4069616,-44.807404
55640625,-1.3858802,-44.817024
55670312.5,-1.4096383,-44.970734
55700000,-1.4171538,-44.840481
55729687.5,-1.4067643,-44.874283
55759375,-1.3906198,-44.969265
55789062.5,-1.370443,-44.937851
55818750,-1.3882192,-44.930733
55848437.5,-1.381703,-44.904095
55878125,-1.3937042,-45.020603
55907812.5,-1.4013312,-45.01075
55937500,-1.3872232,-45.276699
55967187.5,-1.3806329,-45.202812
55996875,-1.3932858,-45.050358
56026562.5,-1.3810487,-45.243561
56056250,-1.381415,-45.175945
56085937.5,-1.3696451,-45.371288
56115625,-1.4060128,-45.42046
56145312.5,-1.3677186,-45.43412
56175000,-1.3888901,-45.588634
56204687.5,-1.3689277,-45.421032
56234375,-1.3994795,-45.492229
56264062.5,-1.3871104,-45.615154
56293750,-1.3918109,-45.520348
56323437.5,-1.3852643,-45.474098
56353125,-1.3864243,-45.72654
56382812.5,-1.3671304,-45.602142
56412500,-1.3919293,-45.727455
56442187.5,-1.3955499,-45.632793
56471875,-1.4052972,-45.690826
56501562.5,-1.3860037,-45.851841
56531250,-1.3690721,-45.922756
56560937.5,-1.3854532,-45.96106
56590625,-1.3679283,-46.080822
56620312.5,-1.364107,-45.919903
56650000,-1.3776708,-45.930733
56679687.5,-1.3842361,-46.007938
56709375,-1.4230107,-46.035206
56739062.5,-1.3681129,-46.132103
56768750,-1.3826463,-46.105804
56798437.5,-1.3925768,-46.213146
56828125,-1.3876842,-46.035645
56857812.5,-1.3774208,-46.100952
56887500,-1.3852001,-46.155289
56917187.5,-1.407414,-46.292183
56946875,-1.3929342,-46.320297
56976562.5,-1.4007881,-46.276852
57006250,-1.389183,-46.518436
57035937.5,-1.3701987,-46.444275
57065625,-1.3748578,-46.423706
57095312.5,-1.3749461,-46.392174
57125000,-1.3692522,-46.539051
57154687.5,-1.3900391,-46.620163
57184375,-1.4064521,-46.657154
57214062.5,-1.398423,-46.556026
57243750,-1.3869221,-46.606323
57273437.5,-1.4022791,-46.7061
57303125,-1.4062941,-46.839706
57332812.5,-1.3924267,-46.698414
57362500,-1.394708,-46.751484
57392187.5,-1.3939106,-46.809269
57421875,-1.4072033,-46.930592
57451562.5,-1.4217236,-46.996979
57481250,-1.4098815,-46.896568
57510937.5,-1.3981285,-46.920326
57540625,-1.399228,-46.943535
57570312.5,-1.4119185,-46.973747
57600000,-1.4042938,-47.026077
57629687.5,-1.4056059,-47.178768
57659375,-1.4109551,-47.243206
57689062.5,-1.4303095,-47.121666
57718750,-1.4242437,-47.208134
57748437.5,-1.4253811,-47.154537
57778125,-1.4026442,-47.216854
57807812.5,-1.4292127,-47.316105
57837500,-1.4216276,-47.371628
57867187.5,-1.4154215,-47.400723
57896875,-1.4346639,-47.473175
57926562.5,-1.4303366,-47.309696
57956250,-1.4248842,-47.430122
57985937.5,-1.4119864,-47.632797
58015625,-1.4272237,-47.616554
58045312.5,-1.4199613,-47.48241
