!CSV A.01.01
!Agilent Technologies,N5230C,MY49001079,A.09.31.02
!Agilent N5230C: A.09.31.02
!Date: Friday, November 15, 2019 16:14:02
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
50000000,-1.2899431,-44.454494
50029687.5,-1.3009067,-44.725567
50059375,-1.310871,-44.677738
50089062.5,-1.3107569,-44.539234
50118750,-1.3155055,-44.628151
50148437.5,-1.324807,-44.710598
50178125,-1.3423088,-44.448444
50207812.5,-1.3415884,-44.529575
50237500,-1.3286982,-44.650764
50267187.5,-1.332352,-44.655537
50296875,-1.3695674,-44.674145
50326562.5,-1.3661669,-44.528976
50356250,-1.36031,-44.629471
50385937.5,-1.3971314,-44.60146
50415625,-1.402725,-44.485954
50445312.5,-1.4045428,-44.733738
50475000,-1.3995271,-44.534771
50504687.5,-1.4013798,-44.681812
50534375,-1.4229743,-44.729286
50564062.5,-1.414807,-44.632542
50593750,-1.4407687,-44.559635
50623437.5,-1.438437,-44.760933
50653125,-1.4449593,-44.409935
50682812.5,-1.4724638,-44.626987
50712500,-1.4638666,-44.584644
50742187.5,-1.4901525,-44.620705
50771875,-1.4823037,-44.50491
50801562.5,-1.4867338,-44.587688
50831250,-1.4734093,-44.579304
50860937.5,-1.5004892,-44.435684
50890625,-1.4969796,-44.53067
50920312.5,-1.4914272,-44.536064
50950000,-1.5160015,-44.495621
50979687.5,-1.5166615,-44.490726
51009375,-1.51844,-44.632576
51039062.5,-1.5207765,-44.590168
51068750,-1.518978,-44.399002
51098437.5,-1.5393826,-44.439255
51128125,-1.5444505,-44.366024
51157812.5,-1.5248621,-44.300858
51187500,-1.5381403,-44.378269
51217187.5,-1.5354578,-44.339409
51246875,-1.5582519,-44.33588
51276562.5,-1.5544069,-44.364265
51306250,-1.568266,-44.337345
51335937.5,-1.5785801,-44.301636
51365625,-1.5777203,-44.376282
51395312.5,-1.5827427,-44.13641
51425000,-1.5667223,-44.296448
51454687.5,-1.5855219,-44.226414
51484375,-1.588351,-44.311367
51514062.5,-1.5933393,-44.295364
51543750,-1.5959055,-44.350044
51573437.5,-1.6098257,-44.152344
51603125,-1.6028706,-44.166355
51632812.5,-1.607537,-44.098415
51662500,-1.6053677,-44.050804
51692187.5,-1.5913633,-44.111324
51721875,-1.599471,-44.046215
51751562.5,-1.6111555,-43.988312
51781250,-1.6205814,-44.004868
51810937.5,-1.6019086,-44.08765
51840625,-1.6129667,-43.967865
51870312.5,-1.638556,-44.066467
51900000,-1.6033005,-44.088207
51929687.5,-1.615537,-43.897976
51959375,-1.644402,-43.876827
51989062.5,-1.6160295,-43.913605
52018750,-1.6225309,-43.893112
52048437.5,-1.6195344,-43.942799
52078125,-1.6081234,-43.96981
52107812.5,-1.6234323,-43.974644
52137500,-1.6168871,-43.882244
52167187.5,-1.6171297,-43.812115
52196875,-1.6230406,-43.731686
52226562.5,-1.6260209,-43.801876
52256250,-1.6221851,-43.779671
52285937.5,-1.6221513,-43.747997
52315625,-1.6328728,-43.664394
52345312.5,-1.6211008,-43.754253
52375000,-1.6267071,-43.647346
52404687.5,-1.6057531,-43.601772
52434375,-1.613847,-43.713581
52464062.5,-1.6391548,-43.673447
52493750,-1.6118153,-43.651833
52523437.5,-1.6284755,-43.684288
52553125,-1.6219974,-43.61882
52582812.5,-1.6048541,-43.604801
52612500,-1.614248,-43.360523
52642187.5,-1.6172678,-43.583736
52671875,-1.6224475,-43.635197
52701562.5,-1.5920606,-43.610607
52731250,-1.6332188,-43.510006
52760937.5,-1.6279681,-43.588573
52790625,-1.6174384,-43.374889
52820312.5,-1.6146263,-43.477695
52850000,-1.6027715,-43.525204
52879687.5,-1.5901203,-43.449024
52909375,-1.6090946,-43.591129
52939062.5,-1.6092733,-43.520386
