# Depth,LaunchAngle,ArrivalAngle,ArrivalAngleCalc
1.500000000000000000e+02,8.982421875000000000e+01,8.999810649423183406e+01,8.999810649423183406e+01
1.600000000000000000e+02,8.982421875000000000e+01,8.999845563368008072e+01,8.999845563368008072e+01
1.700000000000000000e+02,8.982421875000000000e+01,8.999949508256769093e+01,8.999949508256769093e+01
1.800000000000000000e+02,8.982421875000000000e+01,8.999865927550042954e+01,8.999865927550042954e+01
1.900000000000000000e+02,8.982421875000000000e+01,8.999887207097924602e+01,8.999887207097924602e+01
2.000000000000000000e+02,8.982421875000000000e+01,8.999918581144045504e+01,8.999918581144045504e+01
2.100000000000000000e+02,8.982421875000000000e+01,8.999906527965947589e+01,8.999906527965947589e+01
2.200000000000000000e+02,8.982421875000000000e+01,8.999898940316998619e+01,8.999898940316998619e+01
2.300000000000000000e+02,8.982421875000000000e+01,8.999912746881342684e+01,8.999912746881342684e+01
2.400000000000000000e+02,7.224609375000001421e+01,8.999222690721703088e+01,8.999222690721703088e+01
2.500000000000000000e+02,6.943359375000000000e+01,8.999940330078088380e+01,8.999940330078088380e+01
2.600000000000000000e+02,6.732421875000000000e+01,8.999565690607377633e+01,8.999565690607377633e+01
2.700000000000000000e+02,6.556640625000000000e+01,8.999302516297336751e+01,8.999302516297336751e+01
2.800000000000000000e+02,6.416015624999998579e+01,8.998523768721834415e+01,8.998523768721834415e+01
2.900000000000000000e+02,6.275390624999998579e+01,8.999593579369178542e+01,8.999593579369178542e+01
3.000000000000000000e+02,6.134765624999998579e+01,8.999796243936549445e+01,8.999796243936549445e+01
3.100000000000000000e+02,6.029296875000000711e+01,8.999448878456612988e+01,8.999448878456612988e+01
3.200000000000000000e+02,5.923828124999999289e+01,8.999801322433050643e+01,8.999801322433050643e+01
3.300000000000000000e+02,5.818359375000001421e+01,8.999904012032118317e+01,8.999904012032118317e+01
3.400000000000000000e+02,5.712890625000000000e+01,8.999027480147375968e+01,8.999027480147375968e+01
3.500000000000000000e+02,5.642578125000000000e+01,8.968107484986433064e+01,8.968107484986433064e+01
3.600000000000000000e+02,5.537109375000000000e+01,8.999423534328106200e+01,8.999423534328106200e+01
